output_csv_path,SENTENCE_NAME,SENTENCE,sentence_decoder,beam_size,top_k,window_size,stride,BLEU,ROUGE-1,ROUGE-L,Cosine
5Gw0TpbCMTQ_0-5-rgb_front_W16_S8.csv,5Gw0TpbCMTQ_0-5-rgb_front,"Hi, my name's Floyd, I'm talking to you today from theacousticmusician.com in Sandy, Utah, and we're going to talk about how to read guitar music today.","Who do you want to talk to? you´re right. talk excuse me, could you tell me the way to the station, please? what’s the matter with you? who are you? i'm fine, thanks. i have a sore throat. what’s the matter with you? how long would you like to stay at our hotel? how much will the repair cost? what’s the matter with you? i've got a stabbing pain in my back. where does it hurt? what’s the matter with you? is there anything else i can do for you?.",10,20,16,8,0.0,20.47,11.02,19.14
2ri5HYm48MA_0-2-rgb_front_W16_S8.csv,2ri5HYm48MA_0-2-rgb_front,REBECCA SATO: Hi.,Ancient.,10,20,16,8,0.0,0.0,0.0,0.0
bcNtUYh3GNs_0-8-rgb_front_W16_S8.csv,bcNtUYh3GNs_0-8-rgb_front,I'm Veronyka Bass from Veronyka's Color Salon and Day Spa.,Ear do you use a hearing aid? i was stung by an bee.,10,20,16,8,0.0,8.0,8.0,0.0
bIUmw2DVW7Q_0-3-rgb_front_W16_S8.csv,bIUmw2DVW7Q_0-3-rgb_front,A wrist control that we can use from a slashing attack.,Tile posttraumatic stress disorder take care of my father passed away last year.,10,20,16,8,0.0,0.0,0.0,0.0
C4lsh3mZ4jU_0-5-rgb_front_W16_S8.csv,C4lsh3mZ4jU_0-5-rgb_front,Hi!,Lamp.,10,20,16,8,0.0,0.0,0.0,0.0
5Gw0TpbCMTQ_0-5-rgb_front_W16_S8.csv,5Gw0TpbCMTQ_0-5-rgb_front,"Hi, my name's Floyd, I'm talking to you today from theacousticmusician.com in Sandy, Utah, and we're going to talk about how to read guitar music today.","Are you thirsty? who do you want to talk to? no drinking allowed. water fountain excuse me, could you tell me the way to the station, please? what’s the matter with you? who do you want to talk to? i have a sore throat. i'm fine, thanks. give me a hug. i have a sore throat. what is your name? i am sorry to bother you. how do you sign? one of my hobbies is writing letters to my pen-friends. our music is traditional. is there anything else i can do for you?.",10,10,16,8,0.0,20.63,12.7,26.24
2ri5HYm48MA_0-2-rgb_front_W16_S8.csv,2ri5HYm48MA_0-2-rgb_front,REBECCA SATO: Hi.,Water ski.,10,10,16,8,0.0,0.0,0.0,0.0
bcNtUYh3GNs_0-8-rgb_front_W16_S8.csv,bcNtUYh3GNs_0-8-rgb_front,I'm Veronyka Bass from Veronyka's Color Salon and Day Spa.,Eardrum helen keller.,10,10,16,8,0.0,0.0,0.0,0.0
bIUmw2DVW7Q_0-3-rgb_front_W16_S8.csv,bIUmw2DVW7Q_0-3-rgb_front,A wrist control that we can use from a slashing attack.,Alter qualifying day of sickness take care of qualifying day of sickness my father passed away last year.,10,10,16,8,0.0,0.0,0.0,0.0
C4lsh3mZ4jU_0-5-rgb_front_W16_S8.csv,C4lsh3mZ4jU_0-5-rgb_front,Hi!,Lamp.,10,10,16,8,0.0,0.0,0.0,0.0
