slice,label_1,score_1,label_2,score_2,label_3,score_3,label_4,score_4,label_5,score_5,label_6,score_6,label_7,score_7,label_8,score_8,label_9,score_9,label_10,score_10
sign_000_0_7.npy,Mass,75.09606,Masonic,74.78255,biggest,74.74744,corn,74.176155,bigger,73.94869,Andre,73.151375,borrowed,73.13187,honest,72.872475,modest,72.71103,jackets,72.697655
sign_001_8_11.npy,NE,75.74487,Biennale,75.656876,altar,75.48648,foe,75.45805,boulder,75.35005,extensions,75.00366,marine,74.6535,Horse,74.33006,Müller,74.26915,jewellery,74.2608
sign_002_16_23.npy,metre,77.25707,Ng,76.48835,chassis,76.4639,filling,76.088745,EP,75.636826,implementation,75.39573,enables,75.36806,jackets,74.911385,logo,74.69627,Mars,74.44822
sign_003_31_36.npy,Da,78.00221,attain,77.96245,heap,76.95784,Guadalupe,76.899124,mistake,76.74077,healthy,75.32554,crane,71.3013,Impact,70.60629,extensive,70.53523,Easter,70.27783
sign_004_41_45.npy,dispatch,77.87708,Globe,74.84049,Horse,74.695435,Engineers,74.15876,assassins,73.89852,metres,73.84067,doors,73.80873,assess,73.65782,Airfield,73.45032,modest,73.36093
sign_005_50_70.npy,flee,80.04913,flaws,79.68998,infancy,78.246445,Horse,77.981895,effectively,76.9555,hunter,76.806076,edible,76.521866,dwellings,75.7592,bays,75.73984,assess,75.5689
sign_006_75_80.npy,linear,77.09539,Howell,76.446236,install,76.38559,News,75.31846,battleships,75.29642,depressed,75.16939,liner,74.882515,barge,74.74892,borrowed,74.52718,Bentley,74.42799
sign_007_85_89.npy,News,76.71925,marshes,76.163055,graph,75.90176,creator,75.53272,globe,75.07411,learn,74.418564,dispersed,74.16501,Baroness,74.08476,know,74.06115,glimpse,74.02626
sign_008_106_116.npy,Dal,78.915215,Autumn,76.34585,notes,76.27934,lobbying,76.18816,Kannada,75.6026,conceptual,75.548584,headache,75.442795,fashionable,75.38397,museum,75.33889,Lights,75.236115
sign_009_132_142.npy,fifth,79.323425,Dirty,78.96645,Documentary,78.84688,Blood,78.76342,my,78.40326,chill,77.85986,fat,77.79553,competitor,76.91249,Fritz,76.34744,Jun,75.96199
sign_010_148_153.npy,Jun,79.97054,junction,77.341934,Dirty,76.56864,estimates,76.136215,Female,74.98081,Brody,74.90122,Machine,74.81369,Born,74.52294,aching,74.45567,Maryland,74.44225
sign_011_158_192.npy,killing,77.83431,Gaelic,76.877625,Encyclopedia,76.80146,Marino,76.52955,Beck,76.06746,Düsseldorf,76.00166,Brock,75.90302,boarding,75.90109,kindly,75.88336,nationalist,75.81182
sign_012_197_217.npy,guitar,75.981346,commanded,75.66155,gut,75.53066,bilateral,74.94324,cramped,74.87085,Jocelyn,74.58032,Battalion,74.484436,Lund,74.24369,crouched,74.18763,captains,73.94445
sign_013_228_239.npy,junction,78.330826,Jun,78.11391,June,76.988884,Junction,75.765045,managing,75.4071,Fletcher,75.11068,Managing,75.094284,Josephine,75.02831,Brewers,74.97058,Moe,74.92306
sign_014_246_251.npy,Jun,82.1131,junction,81.75951,June,79.838135,Junction,77.07782,nationalist,75.77793,Josephine,75.55604,critic,75.47263,distance,75.4213,helping,75.06528,camping,75.00881
sign_015_252_264.npy,leg,76.92651,Bo,76.85383,ŋ,76.78807,Colleges,76.743286,bicycle,76.454155,nodded,75.69039,bags,75.64731,minister,75.37811,broad,75.35695,blast,75.22469
sign_016_268_296.npy,Engineers,78.59005,Kashmir,77.45632,dwellings,76.51814,derived,76.41277,bombs,76.39381,bathroom,76.37669,counting,76.35399,evening,76.346924,aboard,76.24713,Julio,76.24655
sign_017_300_307.npy,asleep,75.109634,blockade,75.04534,killing,75.02927,Louisa,74.862656,Megan,74.57866,Darlington,74.46124,aged,74.46039,Beirut,74.44609,Israeli,74.23436,junction,73.9183
sign_018_311_315.npy,Adults,78.37817,Exactly,77.22859,afford,76.61572,advising,76.11229,Conservatory,75.59903,aforementioned,75.57524,Aurora,75.44429,ambushed,75.27498,aboard,75.26079,ads,75.13385
sign_019_320_359.npy,Nebraska,81.078125,Hip,80.997086,kindly,80.22794,DC,80.07436,Lock,79.737526,meets,79.60321,DB,79.49681,Dalton,79.14735,Afghan,79.11121,authored,79.09475
sign_020_360_366.npy,Clifton,78.69306,é,78.55826,infectious,78.248024,infants,78.000824,Ludwig,77.6969,aux,77.60068,eighteen,76.87242,moth,76.74403,Landing,76.68815,infections,76.58105
sign_021_367_390.npy,intense,79.52386,Lucy,79.28072,cc,78.729385,athletic,78.724976,intends,78.25262,Ludwig,78.04999,helps,77.67657,Luftwaffe,77.42832,intensely,77.37783,intensified,77.101395
sign_022_414_422.npy,blockade,80.35593,NGO,77.131546,Excellent,76.72336,asleep,76.477806,Beirut,76.14819,absorbed,75.722595,infectious,75.053825,infants,74.554886,Amy,74.522095,NH,74.48879
sign_023_430_459.npy,arise,79.89105,Chinese,79.79505,attain,79.64449,Da,79.05239,Kylie,78.80592,Masonic,78.71507,Guadalupe,78.198746,heap,77.66381,cancer,77.60388,acted,77.17888
sign_024_460_469.npy,Lucy,78.81654,Da,76.750275,attain,76.61351,OBE,76.56851,Masonic,76.17353,Luftwaffe,75.96,indictment,75.80706,algorithms,75.66628,Anaheim,75.65948,Extension,75.63625
sign_025_475_487.npy,globe,78.64154,Identity,74.8242,Judah,74.181335,methods,73.95553,bought,73.90523,flash,73.280365,News,73.2083,Boulder,72.97812,boulder,72.97537,lowering,72.78556
