slice,label_1,score_1,label_2,score_2,label_3,score_3,label_4,score_4,label_5,score_5,label_6,score_6,label_7,score_7,label_8,score_8,label_9,score_9,label_10,score_10,label_11,score_11,label_12,score_12,label_13,score_13,label_14,score_14,label_15,score_15,label_16,score_16,label_17,score_17,label_18,score_18,label_19,score_19,label_20,score_20,label_21,score_21,label_22,score_22,label_23,score_23,label_24,score_24,label_25,score_25,label_26,score_26,label_27,score_27,label_28,score_28,label_29,score_29,label_30,score_30,label_31,score_31,label_32,score_32,label_33,score_33,label_34,score_34,label_35,score_35,label_36,score_36,label_37,score_37,label_38,score_38,label_39,score_39,label_40,score_40,label_41,score_41,label_42,score_42,label_43,score_43,label_44,score_44,label_45,score_45,label_46,score_46,label_47,score_47,label_48,score_48,label_49,score_49,label_50,score_50,label_51,score_51,label_52,score_52,label_53,score_53,label_54,score_54,label_55,score_55,label_56,score_56,label_57,score_57,label_58,score_58,label_59,score_59,label_60,score_60,label_61,score_61,label_62,score_62,label_63,score_63,label_64,score_64,label_65,score_65,label_66,score_66,label_67,score_67,label_68,score_68,label_69,score_69,label_70,score_70,label_71,score_71,label_72,score_72,label_73,score_73,label_74,score_74,label_75,score_75,label_76,score_76,label_77,score_77,label_78,score_78,label_79,score_79,label_80,score_80,label_81,score_81,label_82,score_82,label_83,score_83,label_84,score_84,label_85,score_85,label_86,score_86,label_87,score_87,label_88,score_88,label_89,score_89,label_90,score_90,label_91,score_91,label_92,score_92,label_93,score_93,label_94,score_94,label_95,score_95,label_96,score_96,label_97,score_97,label_98,score_98,label_99,score_99,label_100,score_100
slice_000_032.npy,What is the date today?,84.49317,Where can I find a job centre?,83.24721,What are today's specials?,82.27995,Where were you born?,82.19834,How long do you want to stay here?,82.106514,Which city is the capital?,81.94746,Who is the new president?,81.73698,When were you born?,81.46748,"Lovely day today, isn't it?",81.44579,What's your social security number?,81.27842,When does the match begin?,81.24454,When does school start?,81.183044,How long are you going to stay here?,81.149414,How have you been?,81.04064,What's the best way to the station?,80.969406,Where can I rent a car?,80.8654,Where are we now?,80.854126,I should be off now.,80.842735,Where is the pet store?,80.80377,What happened to you?,80.779144,We have a test tomorrow.,80.71906,When would you like to go?,80.64212,Where is the station?,80.6143,Where are your boyfriend?,80.59528,From what time is it open?,80.55904,pub date,80.49797,Where is the local SPCA?,80.48904,Where do you work?,80.48651,What's the charge per hour?,80.47738,Is this first time you've had this?,80.44369,What is the soup of the day?,80.41862,"Could you give me a call at 7 tomorrow morning, please?",80.40753,Where can I find an ATM?,80.375046,What is your pet's name?,80.31368,What now?,80.309814,What's your occupation?,80.302734,How long will it take?,80.29498,What time is it?,80.17017,What shall l do?,80.12621,What's your education?,80.01494,Where does it hurt?,80.00407,What is the temperature?,79.91199,Where is the restaurant car?,79.91146,Can i use the toilet?,79.780945,Where to?,79.746414,pre-bookable seat,79.72215,What's your surname?,79.72168,What are the benefits?,79.708664,What time does the bus arrive?,79.61147,How old were you when you became deaf?,79.541405,dog-team,79.48565,How long would you like to stay at our hotel?,79.3966,What is the church address?,79.39614,toy kitchen,79.39006,Where is the next bus stop?,79.37202,How much does the position pay?,79.35303,Where is the cash register?,79.347404,How did it happen?,79.30993,Will we play at the same table?,79.28401,Can you change a five?,79.23695,Where do you live?,79.23235,What´s your name?,79.205505,"Where can I get tickets, please?",79.196396,Have you got anything cheaper?,79.18043,what’s the matter with you?,79.17091,What´s your sign?,79.02795,Where is the restroom?,78.97,How did you become deaf?,78.930115,Where do you come from?,78.9273,sex toy,78.92713,What can l do for you?,78.920296,mini DV,78.82682,boy toy,78.81935,How long must we wait there?,78.77977,What's up,78.773926,How long are you staying?,78.74536,You have to have a shot.,78.73597,What is the church phone number?,78.69547,When does it open?,78.68327,What courses are you taking this semester?,78.657425,Where can I find a hospital?,78.64769,What times are the services?,78.6439,Boy scouts is a good organization.,78.63499,What sport facilities are there here?,78.626274,interactive toy,78.56312,What do you think of the president?,78.55487,Where is the subway?,78.55288,Do you know where i can find a room here?,78.53443,Can you wake me at 7 AM?,78.53266,Where does Sunday School meet?,78.50152,dog life jacket,78.49199,What happened?,78.486404,What kind of car have you got?,78.47602,place of work,78.451706,Where can I find a doctor?,78.44641,When is the next lesson?,78.43851,Where is the toilet,78.42585,Where is the teater?,78.42117,Why did you do this?,78.415565,What´s your address?,78.39656
slice_032_064.npy,sexy,78.096954,growl,77.640366,excel,77.42006,herd,77.40688,pulling a tooth,77.397964,chili,77.37433,rodent,77.1009,nicotine patch,77.07069,camera operator,76.95035,thermal imaging camera,76.78321,blender,76.741714,mole,76.6934,sexuality,76.58064,sociable,76.506714,marguerite,76.302895,"It must have been 2 years, 3 years since I last saw my cousin.",76.234184,Candy Crush,76.23154,conconance,76.21228,narcissus,76.13522,human,76.11495,gooch,75.99086,five-a-side football,75.98306,coral,75.91062,tambourine,75.89867,sexual,75.87779,physical education,75.86637,desire,75.84956,fang,75.79527,nougat candy,75.77395,gravitational field,75.667244,party of five,75.61393,camera lens,75.52774,tropical rainforest,75.48949,fibre,75.36708,gender,75.343185,diesel smoke,75.32568,smoked,75.28697,three-point line,75.25167,sales target,75.237465,car wax,75.23192,milling,75.134254,Once a week I do some handball practice.,75.11121,target,75.10091,digital camera,75.096695,the five senses,75.03985,They played so well.,75.035324,feeling,75.00193,three phase,74.98981,compact camera,74.96791,satellite navigation device,74.92265,CGI animation,74.92166,three-d glasses,74.8696,I want to visit the deaf club.,74.84894,post office,74.847496,three-d movie,74.766556,poll,74.76608,honeycomb,74.705605,vision mixer,74.69891,sex role,74.688515,dairy,74.67566,oral sex,74.673706,pierce,74.67148,magnetic north pole,74.66835,fig,74.65788,dental floss,74.60199,pinkeye,74.59708,self-consciousness,74.59221,pipe smoking,74.590836,yoga,74.568054,Bluetooth,74.54525,circus ring,74.53889,saber-toothed cat,74.5065,hippy,74.438965,taichi,74.43482,primary sector,74.4183,monorail camera,74.41205,fourth official,74.41155,hail,74.394966,erotic,74.3833,honey extractor,74.38239,third generation mobile phone,74.38167,calyx,74.37423,oral examination,74.368416,physical education teacher,74.338326,I visited my aunt two months ago.,74.33025,I will have coffee after I eat.,74.32298,porcelain painting,74.31134,remote sensing,74.28963,magnetic south pole,74.26759,shaving kit,74.254944,honey super,74.240875,two-stroke engine,74.222664,high season,74.20705,cashing,74.19168,intoxication,74.13549,sixties party,74.1277,Crystal Palace F.C.,74.11687,geothermal energy,74.09718,photosynthesis,74.08582,compression check,74.07675
slice_064_096.npy,How long are you going to stay here?,85.34527,How long must we wait there?,85.19701,How long do you want to stay here?,84.92035,What time is it?,84.518036,From what time is it open?,84.21987,How long will it take?,83.29549,Time is up.,83.25183,What does it eat?,82.37845,How long would you like to stay at our hotel?,82.18258,How have you been?,82.1385,Where is the teater?,81.881996,How long are you staying?,81.7784,What time does the bus arrive?,81.75859,When does the match begin?,81.69844,How many dioptres do you have?,81.45927,What times are the services?,81.18438,what’s the matter with you?,81.11725,What time does the post office close?,81.107086,What is the soup of the day?,80.87973,May I have another piece?,80.76648,What time do the shops close?,80.72034,Why do you say that?,80.65911,Where does Sunday School meet?,80.316444,Where is the restroom?,80.18976,Where is an exchange office?,80.126175,The next day,80.026955,How would you like it?,79.9945,pay in cash,79.93989,end user,79.904564,What's wrong with you?,79.85139,Where do you come from?,79.790115,Where's the nearest lift?,79.77469,When is the next lesson?,79.7548,How much is a room for two people?,79.69097,Where are the dressing rooms?,79.64534,I would like a room for one night.,79.630135,Where is a waiting room?,79.621574,Where is the nearest post office?,79.53281,What's the matter?,79.5235,Is this first time you've had this?,79.51213,When does it open?,79.49751,What's your social security number?,79.47005,How are you feeling?,79.46924,When does it close?,79.43161,Let's take a break.,79.348114,What happened to you?,79.32312,How much does it cost to get in?,79.31252,When would you like to go?,79.277504,Are you sure you wouldn't like to come in?,79.26465,I should be off now.,79.26032,What salad dressing would you like?,79.229,How are you?,79.21668,What's your occupation?,79.1738,Will you be dining in today?,79.11244,What's the charge per hour?,79.10106,Where do I vote?,79.06885,What's your surname?,79.03464,Where were you born?,79.0176,What's up,79.01654,go in,78.97853,What is the temperature?,78.92327,You have a big alcohol problem.,78.88528,Let's have a break!,78.81263,How much is it per night?,78.784645,It's party time!,78.74796,I have no time.,78.7426,May I see the room first?,78.72565,What´s your name?,78.7223,How much is it?,78.69719,When do you serve breakfast?,78.60304,How much will the repair cost?,78.59521,When were you born?,78.585625,I have not seen you in a long time.,78.502525,What time does the train leave?,78.45262,Where does it hurt?,78.428444,What are the benefits?,78.379425,How much does the position pay?,78.31351,What is your name?,78.30564,flip turn,78.29611,What now?,78.25835,How do you sign?,78.23672,part-time employee,78.21421,room rate,78.19379,Could you book me in?,78.14878,How do you feel?,78.13095,What's the name of this street?,78.044876,When does school start?,77.9802,Where do you live?,77.95618,What's troubling you?,77.95518,sign language user,77.84469,self-contradiction,77.81565,I can't move my hand.,77.78646,What is the date today?,77.755646,I am sorry to bother you.,77.746765,She and I discussed it.,77.698006,How old are you?,77.69719,How long does the train stop here?,77.642494,Where is the cash register?,77.64073,Where are your boyfriend?,77.6354,What courses are you taking this semester?,77.62821
slice_096_128.npy,What is the soup of the day?,81.17694,Happy Valentines Day!,81.17424,It was my pleasure.,80.67197,Happy birthday,80.53413,What salad dressing would you like?,80.47284,Have a good day!,80.350685,healthy life expectancy,79.95334,What now?,79.73476,heavy current,79.50895,heavy,79.37099,How would you like it?,79.35728,What are today's specials?,79.03704,I´m happy,78.87124,That is a lot!,78.78038,Have a nice day!,78.76049,bidding increment,78.74273,What's up,78.72963,You are too young.,78.70279,event,78.57267,What happened?,78.55601,salad,78.50932,Happy Thanksgiving!,78.42283,It's not what I want.,78.22234,Get well soon!,78.166695,How did it happen?,78.11598,From what time is it open?,78.09401,Happy Mothers Day!,77.98838,What is the date today?,77.81693,I would like a receipt.,77.80871,I have already been there.,77.75043,"Lovely day today, isn't it?",77.73908,How long will it take?,77.61577,I should be off now.,77.5061,When would you like to go?,77.50545,Come on!,77.49183,It's party time!,77.3605,life expectancy,77.34947,How much is it?,77.32797,How much?,77.32399,What a disappointment!,77.2595,Happy Halloween!,77.23595,I feel better now.,77.1943,How are you feeling?,77.1261,How much does it cost to get in?,76.951805,meaning of life,76.90036,Let's party!,76.89518,How do you feel?,76.86038,piece of cake,76.776505,How are you?,76.75911,Would you like to upsize?,76.731224,What a relief!,76.726364,The cake is in the oven.,76.724144,heavily,76.71416,How long do you want to stay here?,76.70929,birthday party,76.706665,How have you been?,76.69754,What  is happening?,76.67669,merit good,76.6388,auditorium,76.582214,I do not feel well.,76.52685,Where is the main post offfice?,76.5123,What are the benefits?,76.50258,What would you like?,76.496185,delighted,76.4359,What do you like?,76.371475,Many thanks.,76.35244,What  do you want?,76.32942,massive,76.301605,well-being,76.23214,young,76.21442,I don't want to.,76.1902,How many?,76.16334,Happy Hannukah!,76.10063,as a matter of fact,76.09721,I feel all right.,75.923965,Happy,75.92052,Have a nice Thanksgiving.,75.91657,I am happy to meet you.,75.88939,The humidity is high today.,75.839,It is a burning pain.,75.825905,Parking is free here.,75.82585,I want this.,75.802635,cheerful,75.767166,The bacon is overdone.,75.75569,Finally!,75.71939,in reality,75.6781,pleased,75.672295,Do you have plans for Labor Day?,75.6673,He is still alive.,75.63936,usually,75.620346,lightly,75.604126,I don't like it at all.,75.59038,lavishly illustrated,75.55155,I got a new computer for my birthday.,75.53976,fortunately,75.49283,How many children do you have?,75.456375,well-meaning,75.445274,I was on the picket line all morning.,75.40822,Merry Christmas!,75.3671,ultimately,75.34263
slice_128_160.npy,How do you sign?,79.98453,Why do you say that?,77.59055,utility knife,77.369896,problem statement,77.24975,What´s your name?,77.022804,What´s your sign?,76.86582,What are the benefits?,76.689384,What is your name?,76.25831,ferrous metal,76.25069,What is your sign in sign language?,76.08095,How much is a ticket to _____?,76.07485,metal,76.0288,common failure,75.98413,With or without pickles?,75.591095,Very interesting.,75.4153,When do you open?,75.40741,language impairment,75.18415,fare type,75.164215,knife sharpener,75.16171,How much is it?,75.156876,sign name,75.1278,non-metal,75.1111,starter battery,75.079834,base metal,75.07228,bread knife,75.03992,imperative sentence,75.03393,bit,75.016014,When does it close?,74.977875,This is very important.,74.94155,From what time is it open?,74.92766,sign language songs,74.92493,sign language user,74.870514,course code,74.85086,Where is an exchange office?,74.76668,How much will the repair cost?,74.75212,Where is the teater?,74.722336,simple sentence,74.67497,the word is free,74.65864,scrap metal,74.60036,What's your surname?,74.594986,knife,74.55176,What does it eat?,74.530136,Where does Sunday School meet?,74.49023,short story,74.48157,initial value problem,74.47725,This is not important.,74.41702,Toy Story,74.39924,Well said.,74.37736,starter,74.36264,sign language structure,74.28971,When does school start?,74.2814,number sign,74.278015,When?,74.240265,When does it open?,74.19561,relative price,74.192474,How much?,74.12188,I cannot tie a bowtie.,74.08458,fruit of one only seed,74.05621,then,73.97833,What is your pet's name?,73.945404,What does that mean?,73.936195,When is the next lesson?,73.90616,My word processor is Word.,73.90422,sign language poetry,73.87503,prime number,73.85514,Where does this train go?,73.69833,joystick,73.69515,technical issue,73.6789,sign formation,73.654785,What is this prescription for?,73.62315,vegetable peeler,73.58823,Could you show me?,73.57318,tomatoes on the vine,73.57101,What kind of work do you do?,73.56906,cigarette,73.55996,however,73.55725,sign language development,73.54805,Is it important?,73.53234,first name,73.493645,There is a fixed price for these goods.,73.457054,bean,73.4567,product,73.44721,What courses are you taking this semester?,73.44303,Do you have time for me?,73.43945,I am divorced.,73.43058,Where were you born?,73.427444,Your socks do not match?,73.42705,chef's knife,73.40055,Where is the station?,73.3531,When were you born?,73.33435,painless,73.33335,tea,73.26752,hardboiled egg,73.253235,When does the match begin?,73.211845,sweet potato,73.19855,I cannot fasten my belt.,73.18677,How?,73.17987,"Where can I get tickets, please?",73.167984,medallion,73.165924,social problem,73.15447
slice_160_192.npy,April fool,80.33603,are you studying or are you working?,79.42006,school bullying,79.4189,precisely,79.12217,simple lipid,79.092285,educational targets,78.94571,word-based learning,78.48113,exactly,78.44542,gender perspective,78.043724,fool,77.91986,I am interested in working for your company.,77.84778,briefing,77.79243,sucking your thumb,77.387474,child without parental care,77.35803,student-centred,77.283195,eye exam,77.25529,cold turkey,77.234344,essentially,77.18334,parental influence,77.139435,specifically,77.040955,curricula for pupils with a hearing impairment or deafness,76.8897,mouth closed,76.87785,speech synthesis,76.79303,nose clip,76.767914,school-age child care,76.69708,Can you read lips?,76.47027,specific treatment,76.39679,learning style,76.37018,pre-school teacher training,76.20522,Do you know how to make a photo CD?,76.16867,notification,76.16598,speech impairment,76.14005,confidence region,76.035095,peternity confirmation,76.01844,compulsory attendance at school,75.92945,witch,75.91555,patient education,75.909775,care for the elderly,75.90865,parenting time,75.83337,Would you be so kind  and keep the seat for me?,75.77057,twin study,75.7215,oral examination,75.70902,ICT in Special Needs Education,75.69892,graphite pencil,75.65436,notify,75.580185,condom,75.46774,mousetrap,75.40416,fall in love,75.40381,negativity bias,75.36851,mother tongue tuition,75.34976,flattery,75.34205,self-instruction,75.31472,person-centered counseling,75.300125,dictate,75.26985,oral sex,75.19821,brief,75.09629,client brief,75.086754,age-appropriateness,75.0781,worm´s eye view,75.046074,compulsory school age,75.02023,closely,75.01104,probationary period,74.97312,observational learning,74.914375,beak,74.903725,eyeliner,74.89512,customer focus,74.87537,bird feeder with apple skewer,74.860504,preparatory training for school,74.83766,word processing,74.80315,mouse pad,74.7778,Stick your tongue out.,74.76806,self-observation,74.75543,target group,74.751076,word formation,74.73882,image manipulation,74.738235,to attest,74.72728,I would like to interview for this job.,74.68828,direct speech,74.68536,sterile medical tweezers,74.682755,positivity bias,74.67434,bullying,74.65826,deceive,74.63765,Do you remember its registration number?,74.6313,inflation targeting,74.58758,estimated,74.56993,Do you go to school?,74.5243,bird´s eye view,74.52207,revenge,74.48508,vocationally oriented,74.44881,noob,74.446495,instruction letter,74.431656,exact,74.43141,notice,74.404106,bully,74.38586,I am majoring in Home Economics.,74.38466,honey extractor,74.36117,pupil participation,74.35928,aims,74.33879,type of housing,74.326614,I want you to use a condom.,74.29269
slice_192_224.npy,accelerated depreciation,77.93196,heart massage,77.56293,out-patient care,77.311066,"Excuse me, could you tell me the way to the station, please?",76.9552,"Have a seat, please.",76.92062,counselling session,76.78561,road shoulder work ahead,76.68509,diarrhea,76.597206,Would you be so kind  and keep the seat for me?,76.424995,delay,76.42134,I am sorry to bother you.,76.29631,kind,76.17791,long-term sicklisted,76.092,slowly,76.054306,saw scabbard,76.01931,past continuous,75.89581,Jane needs to listen to directions.,75.84352,I'll take your blood pressure.,75.82231,turning from wrist,75.766205,counseling,75.71513,Do you want me to interpret the sermon?,75.50459,decline,75.48244,in-patient,75.45803,I've got a stabbing pain in my back.,75.30814,long-term treatment,75.27894,drug withdrawal,75.05483,person-centered counseling,75.040924,major,74.99406,chronic condition,74.972534,complaints procedure,74.90169,wrist warmer,74.89533,value orientation,74.894226,counselling,74.885414,delayed,74.859406,I can't feel his pulse.,74.795265,How often should I feed it?,74.79512,boost pressure,74.794106,excitation,74.786316,top-handle chainsaw,74.708275,"Would you fill in this form, please?",74.63303,Susan is not respectful to the teacher.,74.606316,Chasing its tail.,74.59801,out-of-home care,74.5939,I am studying to be an interpreter.,74.53875,Please fasten your seatbelt.,74.52469,consultation,74.479126,onward,74.47461,rhythm exercise,74.43795,Is there a restauratnt car on the train?,74.42169,pressure,74.39627,short sleeve,74.386246,counsellor,74.37271,"Would you excuse me, please?",74.36966,minor,74.34902,user's guide,74.3209,boat trailer,74.31388,"Excuse me, could you help me lift up my luggage on the rack?",74.22499,back saw,74.12269,sign-to-voice interpreting,74.10893,career counselling,74.10403,impress,74.09352,Where does this trail lead?,74.08569,pet-assisted therapy,74.03569,span saw,74.02733,long handle sponge,73.97917,chop saw,73.92935,I have a sore throat.,73.87875,gradually,73.86938,Could you give me an advice?,73.84982,nearby,73.833565,"Excuse me, is this seat free?",73.806984,progression,73.80341,needle holder,73.801895,Could you recommend me a good pediatrician?,73.74058,May I introduce my daughter?,73.73839,sore throat,73.72145,umbilical cord clamp,73.72051,Have you been baptized?,73.695114,"Cough, please.",73.67243,breastfeeding,73.65377,I've got a stabbing pain on my breast.,73.64613,pet bed,73.60558,procrastinate,73.593216,I would like to be part of the music ministry,73.57614,She'd like to go skateboarding.,73.5665,I am majoring in Physical Therapy.,73.503426,brief,73.489426,plan chest,73.484146,vibrating alarm clock,73.451324,hand grip strengthener,73.39377,coconut milk,73.389595,calf muscle,73.37737,spike driver,73.37103,particularly,73.353905,sound pressure,73.343735,client brief,73.32205,wooden chick decoration,73.249596,scaffold staging,73.23022,reduce speed ahead,73.20317,accompanying,73.20008
slice_224_256.npy,calf muscle,78.681076,road shoulder work ahead,77.05923,shoulder,76.78103,diarrhea,76.21695,sagging,75.61725,Intensive Care Unit (ICU),75.60195,short sleeve,75.367096,It's itching.,75.366844,long-term sicklisted,75.34506,patient,75.15365,blood pressure cuff,74.770836,I'll take your blood pressure.,74.757034,blood pressure meter,74.71251,small intestine,74.639,itch,74.58073,diagnose,74.542915,counselling session,74.372574,individual,74.29253,I've got a stabbing pain on my breast.,73.975174,I've got a stabbing pain in my back.,73.84887,in-patient,73.81172,artery,73.71768,road shoulder work,73.66919,out-patient care,73.659584,road shoulder,73.61167,eardrum,73.56076,individualise,73.51492,breastfeeding,73.48399,patient education,73.47977,left wing,73.47067,corner,73.37544,blood pressure,73.342415,umbilical cord clamp,73.29619,accelerated depreciation,73.2421,armlet,73.2093,leading,73.19796,elbow,73.14805,I would like to be part of the music ministry,73.12332,counsellor,73.046,clinician,73.04302,Give me a hug.,73.02152,brief,73.00451,bedridden,72.9711,heart massage,72.96344,baby bootie,72.93967,encourage,72.91743,forearm,72.89641,supporting wall,72.87634,wall bar,72.8484,Roll up your sleeve.,72.83626,individual marking,72.83439,Babar,72.82669,boost pressure,72.796906,He broke the VCR,72.795364,spine,72.72612,outpatient,72.65126,armpit,72.644165,crowbar,72.55202,atrium,72.52531,saw scabbard,72.516396,excessive,72.49517,shin guard,72.45214,on one's shoulders,72.40669,detention before trial,72.371605,Chasing its tail.,72.334915,Please fasten your seatbelt.,72.32159,ultrasound,72.27565,foundation,72.2719,armchair,72.24545,cheer on,72.24136,individuality,72.211105,"Have a seat, please.",72.17392,organ transplantation,72.14723,alto,72.13208,sanctify,72.107605,arm wrestling,72.09195,bed,72.08241,Jane needs to listen to directions.,72.053375,wing,72.05209,decline,72.019714,baby,71.99084,authority,71.98408,decay,71.9697,counselling,71.94997,shoulder pass,71.94584,child and adolescent psychiatry,71.93796,needle holder,71.91855,allergy sufferer,71.90994,on the side,71.89689,surround,71.88089,breastfeeding mother,71.8802,nearby,71.84031,excitation,71.836815,cracker,71.759384,braid,71.75541,client brief,71.679054,active resistance,71.66038,escort,71.630974,ear,71.62812,active voice,71.62795
slice_256_288.npy,center stand,75.52884,trip,75.33111,generally speaking,75.26451,stand mixer,74.98537,deep,74.92042,mid-span,74.77324,Northwest Passage,74.75555,spin,74.40682,flip turn,74.384445,Northeast Passage,74.383804,drop-in centre,74.26764,floating,74.14072,Would you like to dance?,73.983246,sociable,73.95874,somersault to the back,73.94379,overbet,73.89707,How long are you going to stay here?,73.82233,study area,73.79251,rotation,73.65642,spinning,73.65115,deeply,73.48328,limited,73.40932,hippopotamus,73.30206,skipping,73.19652,therefore,73.157425,"Please, undress down to the waist.",73.1167,advanced depth specialised,73.029274,long-term sicklisted,72.968796,ambulatory,72.92529,turning,72.83236,mixture,72.79875,How long are you staying?,72.79657,yoga,72.788345,Take your temperature.,72.74887,hopscotch,72.74342,centre of gravity,72.72425,specialize,72.69888,garage,72.663345,clinical thermometer,72.63649,She'd like to go skateboarding.,72.63112,heimlich maneuver,72.57328,overloaded,72.54675,What is your pet's name?,72.49616,The waterfall is beautiful.,72.48567,Greenwich time,72.46831,mixer,72.45939,blender,72.438614,mid,72.392365,labyrinth,72.31836,balance weight,72.31682,somersault,72.294914,tippex,72.22429,reversion,72.16077,lay person,72.14355,standing wave,72.14307,The temperature is below zero.,72.08498,rotate,72.08244,turn,72.05235,quarter,72.043,eternal life,72.00611,hippy,71.97761,triptych,71.97558,alcohol dependence,71.96404,sitz bath,71.95203,balance disorder,71.9458,touring centre,71.9167,neighborhood,71.862366,neighbourhood (mathematics),71.85015,aerial perspective,71.844574,day-care center,71.808426,center circle,71.805336,disciplined,71.747894,parboil,71.73433,heredity,71.73334,then,71.712685,orientation,71.70879,long-term,71.69514,middle course,71.64949,paralyze,71.64295,flow rate,71.64284,perpetual,71.615585,"Take me there, please.",71.61358,"Can you weigh this parcel, please?",71.61097,grading scale,71.56087,elevated temperature,71.54175,life cycle,71.5345,survival rate,71.53147,When would you like to go?,71.504395,backslide,71.49826,lifetime,71.433,dine,71.429985,community care service,71.42297,floating jetty,71.42092,proper,71.39374,overload,71.39046,childhood,71.38287,study trip,71.3591,progression,71.35268,polysemy,71.350006,dancing,71.34267
slice_288_320.npy,community care,78.02485,wrap up warm,77.061584,I will have coffee after I eat.,76.98506,What is your sign in sign language?,76.88629,I am studying to be an interpreter.,76.593185,What´s your sign?,76.3595,sign language training for parents,76.165,"Excuse me, could you tell me the way to the station, please?",75.95619,sign language development,75.934364,digestion,75.90534,What does it eat?,75.889046,sign language user,75.7973,How do you sign?,75.75009,user interface,75.746735,You have a big alcohol problem.,75.70841,oral rehydration therapy,75.706184,I can't move my hand.,75.69667,withdrawal symptom,75.682594,blood analyser machine,75.66931,Do you want me to interpret the sermon?,75.61374,community residential facility,75.60496,beauty consultant,75.58833,Will you be dining in today?,75.55017,Do you know basic first aid?,75.52855,Can you read lips?,75.46334,community care service,75.463326,No talking during the test.,75.45032,How are you feeling?,75.449875,performance appraisal interview,75.36324,sign-to-voice interpreting,75.35707,I don't feel like eating.,75.299225,The baby is cute.,75.27384,feminine sign,75.222176,care institution,75.21076,What is your pet's name?,75.18599,sign language interpreter,75.15193,My internet connection is slow.,75.149475,incest,75.1438,geriatric home care,75.1111,residential care home,75.09967,I am not so good in your sign language,75.09891,How do you feel?,75.080986,complaints procedure,75.08019,blood relative,74.981834,generally speaking,74.96897,Breakfast is not served after 11 am,74.90427,Could you recommend me a good oculist?,74.866165,essentially,74.86142,cost-benefit analysis,74.86134,What's your social security number?,74.85106,In summer I like to go swimming.,74.83345,amnesty,74.828064,sign language structure,74.793045,What kind of job do you do?,74.77116,treatment home,74.74761,performance review interview,74.7175,How did you get interested in signing?,74.71052,Where are your boyfriend?,74.70724,How old were you when you became deaf?,74.69762,speech and language therapy,74.65602,birth parent,74.62758,social adjustment,74.6224,roll feeder,74.61357,Can I offer you anything to eat?,74.59531,I am studying to be a network engineer.,74.58861,sign formation,74.55588,virtual economy,74.44877,You mustn't eat anything.,74.41932,fruit juice,74.41469,manufacturing process,74.37806,community health care,74.34622,Many deaf students enter hearing colleges.,74.33553,Should you drink so much beer when playing poker?,74.33289,processing,74.2993,mouth ulcer,74.2814,Your girlfriend look nice.,74.27882,social economy,74.258,baby swim,74.255424,Do you have interpreted services?,74.25349,barefoot sensory path,74.21568,work-life balance,74.20709,feeling,74.20064,construction technique,74.17859,intoxication,74.17766,Joan doesn´t understand french sign language,74.159584,social comparison,74.15367,Let's you and i go to a restaurant.,74.15009,housing service,74.138336,Were any bones broken?,74.11746,Could you recommend me a good pediatrician?,74.10586,sensory impairment,74.10511,I need to balance my checkbook.,74.10498,What kind of work do you do?,74.09367,sustainable development,74.072716,community care worker,74.06943,Could you recommend me a good dermatologist?,74.057785,synthetic fibre,74.05545,community facility,74.05379,somehow,74.04722,Could you give me an advice?,74.04504
